                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.1402,                0.18894,                0.88689,                0.97426,                0.93935,                0.97372,                0.73558,                0.82893,                0.43236,                  1.352,             0.00038375,             0.00038375,             0.00038375
                     37,                0.13295,                0.18351,                0.88529,                0.96643,                0.94091,                0.97213,                0.72033,                0.85142,                0.42407,                 1.4186,               0.000359,               0.000359,               0.000359
                     38,                0.13463,                0.18123,                0.89282,                0.94902,                0.91176,                0.95508,                 0.7227,                0.83829,                0.51361,                 1.3989,             0.00033425,             0.00033425,             0.00033425
                     39,                0.13014,                0.17916,                0.88005,                0.97611,                0.96905,                0.98222,                0.73575,                0.82578,                 0.3925,                 1.3444,              0.0003095,              0.0003095,              0.0003095
                     40,                0.12902,                0.17574,                0.88344,                0.95984,                0.97931,                0.98744,                0.76407,                0.78951,                0.38446,                 1.3398,             0.00028475,             0.00028475,             0.00028475
                     41,                 0.1085,                0.16734,                0.87159,                0.91395,                0.91955,                0.94916,                 0.6853,                0.88324,                0.58123,                 1.4933,                0.00026,                0.00026,                0.00026
                     42,                 0.1075,                0.12786,                0.87244,                0.96057,                0.95107,                0.98718,                0.75941,                0.77021,                0.41843,                 1.3068,             0.00023525,             0.00023525,             0.00023525
                     43,                0.10426,                0.11814,                0.87783,                0.96168,                0.94852,                0.97431,                0.75368,                0.79184,                0.44519,                 1.3147,              0.0002105,              0.0002105,              0.0002105
                     44,                0.09848,                0.11076,                0.86831,                0.96721,                0.97727,                0.98516,                0.75998,                0.78556,                0.40642,                  1.311,             0.00018575,             0.00018575,             0.00018575
                     45,                    inf,                 0.1084,                0.86707,                 0.9739,                0.94875,                0.98135,                0.74241,                0.79262,                0.41578,                 1.3265,               0.000161,               0.000161,               0.000161
                     46,                0.09139,                0.10534,                0.87416,                0.96166,                 0.9747,                 0.9851,                0.73513,                0.83663,                0.41597,                 1.3805,             0.00013625,             0.00013625,             0.00013625
                     47,                0.09048,                0.10314,                0.87376,                0.98105,                0.98624,                0.99043,                0.76558,                   0.79,                0.37341,                 1.3251,              0.0001115,              0.0001115,              0.0001115
                     48,                0.08622,                0.09651,                0.87123,                0.98254,                0.95358,                0.98617,                0.75432,                0.80521,                0.41823,                 1.3418,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.08795,                0.09518,                 0.8683,                0.97026,                0.96544,                0.98232,                0.74533,                0.81622,                0.40726,                 1.3551,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.08271,                0.09222,                 0.8622,                0.94123,                0.97727,                0.98649,                0.73275,                0.84098,                0.44161,                  1.403,              3.725e-05,              3.725e-05,              3.725e-05
