                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.11334,                0.30339,                0.87857,                0.84622,                 0.8026,                0.86297,                0.52652,                 1.2517,                 1.0141,                 2.0028,              0.0004085,              0.0004085,              0.0004085
                     36,                0.10395,                0.29109,                0.87475,                0.88545,                0.79381,                0.89249,                0.53778,                 1.2637,                0.99408,                 2.0895,             0.00038375,             0.00038375,             0.00038375
                     37,                0.10681,                0.29517,                0.88597,                 0.8183,                0.86755,                0.91791,                0.53435,                 1.2816,                 1.0109,                 2.0891,               0.000359,               0.000359,               0.000359
                     38,                0.10384,                0.29892,                0.87546,                0.81454,                0.79322,                0.88074,                 0.5126,                 1.3604,                 1.1206,                 2.2042,             0.00033425,             0.00033425,             0.00033425
                     39,                0.10035,                 0.2846,                0.87345,                0.82055,                0.77565,                0.84794,                0.50096,                 1.3495,                 1.1108,                 2.1928,              0.0003095,              0.0003095,              0.0003095
                     40,                 0.1089,                0.28508,                0.88307,                0.83792,                0.74536,                0.84656,                0.48732,                 1.3185,                 1.0929,                 2.1439,             0.00028475,             0.00028475,             0.00028475
                     41,                0.09682,                0.53697,                0.88962,                0.80278,                 0.7498,                0.81162,                0.46854,                 1.3382,                  1.194,                 2.1693,                0.00026,                0.00026,                0.00026
                     42,                0.08437,                0.30821,                0.86271,                0.85502,                0.75577,                0.82008,                 0.4673,                 1.4772,                 1.3746,                 2.4525,             0.00023525,             0.00023525,             0.00023525
                     43,                0.08146,                0.29007,                0.86014,                0.80798,                0.81818,                0.85757,                0.50409,                 1.3928,                 1.2335,                 2.4476,              0.0002105,              0.0002105,              0.0002105
                     44,                0.07203,                0.25956,                0.87231,                0.82364,                0.83072,                0.87372,                0.53376,                 1.3059,                 1.1241,                 2.3457,             0.00018575,             0.00018575,             0.00018575
                     45,                0.06945,                0.25257,                0.86252,                0.83564,                0.83157,                0.88807,                0.53346,                  1.312,                 1.1103,                 2.3582,               0.000161,               0.000161,               0.000161
                     46,                0.07227,                0.25128,                0.86732,                0.83503,                0.83434,                0.89748,                0.54719,                 1.3026,                 1.1123,                 2.3119,             0.00013625,             0.00013625,             0.00013625
                     47,                0.06473,                0.24067,                0.86404,                0.84844,                0.84586,                0.89656,                 0.5447,                 1.3033,                  1.102,                 2.3061,              0.0001115,              0.0001115,              0.0001115
                     48,                0.06132,                 0.2364,                0.85972,                0.83754,                0.85909,                0.89815,                0.54464,                  1.305,                 1.0865,                 2.3361,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.05758,                0.22758,                0.87386,                0.85049,                0.86224,                0.90546,                0.54237,                 1.3048,                 1.0517,                 2.3242,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.06378,                0.23239,                0.86005,                0.85509,                0.86536,                0.91534,                0.54357,                 1.3092,                 1.0287,                 2.3196,              3.725e-05,              3.725e-05,              3.725e-05
