                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.44519,                0.46718,                 1.0074,                0.97284,                0.96492,                0.97934,                0.74327,                0.82955,                 0.5799,                 1.2988,             0.00038375,             0.00038375,             0.00038375
                     37,                0.44802,                0.46682,                 1.0056,                0.96099,                   0.95,                  0.967,                0.74249,                0.81904,                0.61392,                 1.2887,               0.000359,               0.000359,               0.000359
                     38,                0.44497,                0.45919,                 1.0064,                0.92546,                0.90468,                0.93163,                0.70025,                0.85992,                0.66585,                 1.3601,             0.00033425,             0.00033425,             0.00033425
                     39,                0.43382,                0.45052,                0.99987,                0.90749,                 0.8968,                0.93469,                0.70074,                 0.8753,                0.68269,                 1.3493,              0.0003095,              0.0003095,              0.0003095
                     40,                0.44306,                0.44128,                0.99619,                0.93487,                0.91364,                0.95777,                0.71577,                0.84495,                0.64627,                 1.3198,             0.00028475,             0.00028475,             0.00028475
                     41,                0.39324,                0.66902,                0.99835,                0.94445,                0.91818,                0.95532,                 0.6744,                0.90975,                0.67696,                 1.4365,                0.00026,                0.00026,                0.00026
                     42,                0.38214,                0.49304,                0.95915,                0.95456,                0.91587,                0.95851,                0.69759,                0.87893,                0.71113,                 1.3919,             0.00023525,             0.00023525,             0.00023525
                     43,                0.36869,                0.48022,                0.94755,                0.95222,                0.91797,                 0.9609,                0.70197,                0.85437,                0.66316,                 1.3937,              0.0002105,              0.0002105,              0.0002105
                     44,                0.35688,                0.44734,                0.96788,                0.93143,                0.92013,                0.94957,                0.70309,                0.86432,                0.67062,                 1.4267,             0.00018575,             0.00018575,             0.00018575
                     45,                0.34626,                0.43557,                 0.9489,                0.90837,                 0.9037,                0.93323,                0.69655,                0.85183,                0.68882,                 1.3873,               0.000161,               0.000161,               0.000161
                     46,                0.35439,                0.44438,                0.94268,                0.90037,                0.91659,                0.93428,                0.69371,                0.84894,                0.71007,                 1.3707,             0.00013625,             0.00013625,             0.00013625
                     47,                0.35162,                0.42701,                0.92878,                0.89912,                 0.9128,                0.92759,                0.69058,                0.86845,                0.72074,                  1.389,              0.0001115,              0.0001115,              0.0001115
                     48,                0.34542,                0.42196,                0.92908,                0.91222,                0.91014,                0.93266,                 0.6968,                0.85871,                0.68376,                 1.3574,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.33586,                0.40894,                0.94144,                0.91412,                0.92054,                0.94401,                0.70906,                0.82668,                 0.6541,                  1.321,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.33733,                0.40234,                0.93131,                0.91576,                0.92037,                0.94266,                 0.7137,                0.82325,                0.65109,                 1.3224,              3.725e-05,              3.725e-05,              3.725e-05
